"customer_id","group_customer_id","customer_name_encrypted","customer_age","customer_gender","customer_pronoun","customer_province_code","customer_province_name","customer_ward_code","customer_ward_name","customer_address","customer_hometown","customer_career","_record_date"
"0","0",KUR4hLjw1fYui0hw+FI8YCP0RP5B/mbZ3L6wa/irbHygkCORwVY=,20,Male,Mr,PROV_0,Province 0,WARD_0,Ward 0,Address 0,Hometown 0,Career 0,2026-05-15
"1","1",gKPlbzLWxDZ7abwmLEPJUyzm/xUw9fk3yBUbbB6bB/Ciouah45g=,21,Female,Ms,PROV_1,Province 1,WARD_1,Ward 1,Address 1,Hometown 1,Career 1,2026-05-15
"10","10",B6btBrYZH+yrYzdyt+DTAU435u+A52jVK5l4lxMHl3RkmQHpjkBz,30,Male,Mr,PROV_10,Province 10,WARD_10,Ward 10,Address 10,Hometown 10,Career 10,2026-05-15
"100","100",SZ9lIVFCFBJWLpsu0Zc9lqOdcEyHYF+3baTikJApWASntkt3rEPnhA==,60,Male,Mr,PROV_37,Province 37,WARD_100,Ward 100,Address 100,Hometown 37,Career 0,2026-05-15
"1000","0",/dRL1iTshbmCCQRcuitIFxa/mdlG+4zZDlcEnja9ypBjAWuuCgE9iwI=,60,Male,Mr,PROV_55,Province 55,WARD_0,Ward 0,Address 1000,Hometown 55,Career 0,2026-05-15
"10000","0",UputpE2E5ZZ/aw6AKfTk5hPHmoeQBvmqc6CS22qS15/tgpmvHlNl0EkR,60,Male,Mr,PROV_46,Province 46,WARD_0,Ward 0,Address 10000,Hometown 46,Career 0,2026-05-15
"100000","0",KVqC/cPhK2rHQjhGWOjyLUTRmlLmYvehNAZIOtk4BKAWaT+QImCEdwO62Q==,60,Male,Mr,PROV_19,Province 19,WARD_0,Ward 0,Address 100000,Hometown 19,Career 0,2026-05-15
"1000000","0",aZfi+ROToMln9iIyXcPQrjxWHNslwhG6iSf+ckrGddd0tx8JWNv/YeRutZ4=,60,Male,Mr,PROV_1,Province 1,WARD_0,Ward 0,Address 1000000,Hometown 1,Career 0,2026-05-15
"1000001","1",GreXjM9Vhdycy+DDRLCw0E0JdjIq7ubuBE3rADnGmb5ebdCn9SG4ad6TCes=,61,Female,Ms,PROV_2,Province 2,WARD_1,Ward 1,Address 1000001,Hometown 2,Career 1,2026-05-15
"1000002","2",o4iqeaE6T1s03P8mvE6bU3WClDsQrshBH2qj1URqc4g1AU5Y9k48YHy62+I=,62,Male,Mr,PROV_3,Province 3,WARD_2,Ward 2,Address 1000002,Hometown 3,Career 2,2026-05-15
"1000003","3",zEMdUbHY2mF407mxbRJP1pWTLyrceXPlHoVNqxl2cGOJgflJP5o8RNd/tJw=,63,Female,Ms,PROV_4,Province 4,WARD_3,Ward 3,Address 1000003,Hometown 4,Career 3,2026-05-15
"1000004","4","2nMaeCR+Qt9Rh2otk6S58gqQgqfoHzstly6bysgelIHAx2HXtTWx48KcDJE=",64,Male,Mr,PROV_5,Province 5,WARD_4,Ward 4,Address 1000004,Hometown 5,Career 4,2026-05-15
"1000005","5",JxHbQso0EFBNZl8dZNVulrsFoY8YVeWtt6oRpQodFDKL0VjGGHNRApb/YfE=,65,Female,Ms,PROV_6,Province 6,WARD_5,Ward 5,Address 1000005,Hometown 6,Career 5,2026-05-15
