"id","customer_id","address","province_code","province_name","ward_code","ward_name","type","status","_record_date"
ADDR_HIST_0,"0",Address 0,"0",Province 0,"0",Ward 0,HOME,0,2026-05-13
ADDR_HIST_1,"1",Address 1,"1",Province 1,"1",Ward 1,WORK,1,2026-05-13
ADDR_HIST_10,"10",Address 10,"10",Province 10,"10",Ward 10,HOME,0,2026-05-13
ADDR_HIST_100,"100",Address 100,"37",Province 37,"100",Ward 100,HOME,0,2026-05-13
ADDR_HIST_1000,"1000",Address 1000,"55",Province 55,"0",Ward 0,HOME,0,2026-05-13
ADDR_HIST_10000,"10000",Address 10000,"46",Province 46,"0",Ward 0,HOME,0,2026-05-13
ADDR_HIST_100000,"100000",Address 100000,"19",Province 19,"0",Ward 0,HOME,0,2026-05-13
ADDR_HIST_1000000,"1000000",Address 1000000,"1",Province 1,"0",Ward 0,HOME,0,2026-05-13
ADDR_HIST_1000001,"1000001",Address 1000001,"2",Province 2,"1",Ward 1,WORK,1,2026-05-13
ADDR_HIST_1000002,"1000002",Address 1000002,"3",Province 3,"2",Ward 2,HOME,1,2026-05-13
ADDR_HIST_1000003,"1000003",Address 1000003,"4",Province 4,"3",Ward 3,WORK,1,2026-05-13
ADDR_HIST_1000004,"1000004",Address 1000004,"5",Province 5,"4",Ward 4,HOME,1,2026-05-13
ADDR_HIST_1000005,"1000005",Address 1000005,"6",Province 6,"5",Ward 5,WORK,0,2026-05-13
ADDR_HIST_1000006,"1000006",Address 1000006,"7",Province 7,"6",Ward 6,HOME,1,2026-05-13
ADDR_HIST_1000007,"1000007",Address 1000007,"8",Province 8,"7",Ward 7,WORK,1,2026-05-13
ADDR_HIST_1000008,"1000008",Address 1000008,"9",Province 9,"8",Ward 8,HOME,1,2026-05-13
ADDR_HIST_1000009,"1000009",Address 1000009,"10",Province 10,"9",Ward 9,WORK,1,2026-05-13
ADDR_HIST_100001,"100001",Address 100001,"20",Province 20,"1",Ward 1,WORK,1,2026-05-13
ADDR_HIST_1000010,"1000010",Address 1000010,"11",Province 11,"10",Ward 10,HOME,0,2026-05-13
ADDR_HIST_1000011,"1000011",Address 1000011,"12",Province 12,"11",Ward 11,WORK,1,2026-05-13
ADDR_HIST_1000012,"1000012",Address 1000012,"13",Province 13,"12",Ward 12,HOME,1,2026-05-13
ADDR_HIST_1000013,"1000013",Address 1000013,"14",Province 14,"13",Ward 13,WORK,1,2026-05-13
ADDR_HIST_1000014,"1000014",Address 1000014,"15",Province 15,"14",Ward 14,HOME,1,2026-05-13
ADDR_HIST_1000015,"1000015",Address 1000015,"16",Province 16,"15",Ward 15,WORK,0,2026-05-13
ADDR_HIST_1000016,"1000016",Address 1000016,"17",Province 17,"16",Ward 16,HOME,1,2026-05-13
ADDR_HIST_1000017,"1000017",Address 1000017,"18",Province 18,"17",Ward 17,WORK,1,2026-05-13
ADDR_HIST_1000018,"1000018",Address 1000018,"19",Province 19,"18",Ward 18,HOME,1,2026-05-13
ADDR_HIST_1000019,"1000019",Address 1000019,"20",Province 20,"19",Ward 19,WORK,1,2026-05-13
ADDR_HIST_100002,"100002",Address 100002,"21",Province 21,"2",Ward 2,HOME,1,2026-05-13
ADDR_HIST_1000020,"1000020",Address 1000020,"21",Province 21,"20",Ward 20,HOME,0,2026-05-13
ADDR_HIST_1000021,"1000021",Address 1000021,"22",Province 22,"21",Ward 21,WORK,1,2026-05-13
ADDR_HIST_1000022,"1000022",Address 1000022,"23",Province 23,"22",Ward 22,HOME,1,2026-05-13
ADDR_HIST_1000023,"1000023",Address 1000023,"24",Province 24,"23",Ward 23,WORK,1,2026-05-13
ADDR_HIST_1000024,"1000024",Address 1000024,"25",Province 25,"24",Ward 24,HOME,1,2026-05-13
ADDR_HIST_1000025,"1000025",Address 1000025,"26",Province 26,"25",Ward 25,WORK,0,2026-05-13
ADDR_HIST_1000026,"1000026",Address 1000026,"27",Province 27,"26",Ward 26,HOME,1,2026-05-13
ADDR_HIST_1000027,"1000027",Address 1000027,"28",Province 28,"27",Ward 27,WORK,1,2026-05-13
ADDR_HIST_1000028,"1000028",Address 1000028,"29",Province 29,"28",Ward 28,HOME,1,2026-05-13
ADDR_HIST_1000029,"1000029",Address 1000029,"30",Province 30,"29",Ward 29,WORK,1,2026-05-13
ADDR_HIST_100003,"100003",Address 100003,"22",Province 22,"3",Ward 3,WORK,1,2026-05-13
ADDR_HIST_1000030,"1000030",Address 1000030,"31",Province 31,"30",Ward 30,HOME,0,2026-05-13
ADDR_HIST_1000031,"1000031",Address 1000031,"32",Province 32,"31",Ward 31,WORK,1,2026-05-13
ADDR_HIST_1000032,"1000032",Address 1000032,"33",Province 33,"32",Ward 32,HOME,1,2026-05-13
ADDR_HIST_1000033,"1000033",Address 1000033,"34",Province 34,"33",Ward 33,WORK,1,2026-05-13
ADDR_HIST_1000034,"1000034",Address 1000034,"35",Province 35,"34",Ward 34,HOME,1,2026-05-13
ADDR_HIST_1000035,"1000035",Address 1000035,"36",Province 36,"35",Ward 35,WORK,0,2026-05-13
ADDR_HIST_1000036,"1000036",Address 1000036,"37",Province 37,"36",Ward 36,HOME,1,2026-05-13
ADDR_HIST_1000037,"1000037",Address 1000037,"38",Province 38,"37",Ward 37,WORK,1,2026-05-13
ADDR_HIST_1000038,"1000038",Address 1000038,"39",Province 39,"38",Ward 38,HOME,1,2026-05-13
ADDR_HIST_1000039,"1000039",Address 1000039,"40",Province 40,"39",Ward 39,WORK,1,2026-05-13
ADDR_HIST_100004,"100004",Address 100004,"23",Province 23,"4",Ward 4,HOME,1,2026-05-13
ADDR_HIST_1000040,"1000040",Address 1000040,"41",Province 41,"40",Ward 40,HOME,0,2026-05-13
ADDR_HIST_1000041,"1000041",Address 1000041,"42",Province 42,"41",Ward 41,WORK,1,2026-05-13
ADDR_HIST_1000042,"1000042",Address 1000042,"43",Province 43,"42",Ward 42,HOME,1,2026-05-13
ADDR_HIST_1000043,"1000043",Address 1000043,"44",Province 44,"43",Ward 43,WORK,1,2026-05-13
ADDR_HIST_1000044,"1000044",Address 1000044,"45",Province 45,"44",Ward 44,HOME,1,2026-05-13
ADDR_HIST_1000045,"1000045",Address 1000045,"46",Province 46,"45",Ward 45,WORK,0,2026-05-13
ADDR_HIST_1000046,"1000046",Address 1000046,"47",Province 47,"46",Ward 46,HOME,1,2026-05-13
ADDR_HIST_1000047,"1000047",Address 1000047,"48",Province 48,"47",Ward 47,WORK,1,2026-05-13
ADDR_HIST_1000048,"1000048",Address 1000048,"49",Province 49,"48",Ward 48,HOME,1,2026-05-13
ADDR_HIST_1000049,"1000049",Address 1000049,"50",Province 50,"49",Ward 49,WORK,1,2026-05-13
ADDR_HIST_100005,"100005",Address 100005,"24",Province 24,"5",Ward 5,WORK,0,2026-05-13
ADDR_HIST_1000050,"1000050",Address 1000050,"51",Province 51,"50",Ward 50,HOME,0,2026-05-13
ADDR_HIST_1000051,"1000051",Address 1000051,"52",Province 52,"51",Ward 51,WORK,1,2026-05-13
ADDR_HIST_1000052,"1000052",Address 1000052,"53",Province 53,"52",Ward 52,HOME,1,2026-05-13
ADDR_HIST_1000053,"1000053",Address 1000053,"54",Province 54,"53",Ward 53,WORK,1,2026-05-13
ADDR_HIST_1000054,"1000054",Address 1000054,"55",Province 55,"54",Ward 54,HOME,1,2026-05-13
ADDR_HIST_1000055,"1000055",Address 1000055,"56",Province 56,"55",Ward 55,WORK,0,2026-05-13
ADDR_HIST_1000056,"1000056",Address 1000056,"57",Province 57,"56",Ward 56,HOME,1,2026-05-13
ADDR_HIST_1000057,"1000057",Address 1000057,"58",Province 58,"57",Ward 57,WORK,1,2026-05-13
ADDR_HIST_1000058,"1000058",Address 1000058,"59",Province 59,"58",Ward 58,HOME,1,2026-05-13
